Year,Persons,Males,Females
1982,59.7,109.8,22.7
1983,60,108.8,23.5
1984,60.6,109.5,24.1
1985,59.4,106.8,24.3
1986,59.4,104.6,25.8
1987,61.9,108.2,27
1988,59.1,100.7,27.8
1989,60.2,101.7,28.9
1990,60.9,102.2,30
1991,59.6,97.6,30.7
1992,58.7,95.7,30.2
1993,58.9,93.6,32.3
1994,60.9,98.1,32.5
1995,58.5,91.9,32.9
1996,59.1,92.5,33.5
1997,59.5,91.8,34.9
1998,58.3,89.8,34
1999,57.2,87.4,33.8
2000,57.4,84.9,36.2
2001,56.8,83,36.3
2002,56.8,81.1,37.7
2003,55,79,36.3
2004,58.9,83.8,38.9
2005,58.4,80.9,40.3
2006,59.2,82.6,40.6
2007,58.8,79.6,42
2008,58.6,78.4,42.8
2009,58.2,75.7,44.4
2010,57.5,75.9,42.9
2011,56.2,74.2,41.7
2012,58.2,74.2,45.2
2013,57,73.2,43.9
2014,56.6,70.6,45.2
2015,56.6,70.1,45.6
2016,58.5,71.7,47.8
2017,57.3,69.3,47.4
2018,57.5,67.7,49.1
2019,57.4,68.3,48.6
2020,55.9,64.4,48.9
2021,53.7,62.3,46.6
